,Ticker,Price,P/E Ratio,P/E Percentile,P/B Ratio,P/B Percentile,P/Sales Ratio,P/Sales Percentile,EV/EBITDA Ratio,EV/EBITDA Percentile,EV/Gross Ratio,EV/Gross Percentile,NumberSharesToBuy,RV Score
0,TSN,60.474998474121094,9.12,0.9960159362549801,1.11,0.199203187250996,0.41,0.9960159362549801,6.25,0.597609561752988,0.55,0.796812749003984,N/A,0.7171314741035857
1,VLO,140.85000610351562,4.62,0.597609561752988,2.19,2.589641434262948,0.3,0.597609561752988,3.09,0.398406374501992,0.28,0.398406374501992,N/A,0.9163346613545816
2,ADM,82.2699966430664,10.67,1.394422310756972,1.85,1.593625498007968,0.45,1.195219123505976,7.98,0.796812749003984,0.52,0.597609561752988,N/A,1.1155378486055776
3,UHS,147.14500427246094,15.3,1.792828685258964,1.81,1.394422310756972,0.85,2.390438247011952,9.71,1.195219123505976,1.19,2.191235059760956,N/A,1.7928286852589639
4,ABC,158.63999938964844,19.16,2.589641434262948,5.58,6.573705179282868,0.14,0.199203187250996,11.49,1.394422310756972,0.15,0.199203187250996,N/A,2.191235059760956
5,UAL,48.790000915527344,22.77,4.9800796812749,2.41,3.187250996015936,0.37,0.796812749003984,13.75,2.9880478087649402,0.81,1.195219123505976,N/A,2.6294820717131473
6,AAP,153.0399932861328,19.42,2.788844621513944,3.3,4.183266932270916,0.84,2.191235059760956,13.11,2.788844621513944,1.12,1.9920318725099602,N/A,2.788844621513944
7,AEP,90.13999938964844,19.15,2.390438247011952,1.95,1.792828685258964,2.5,4.382470119521912,11.7,1.593625498007968,4.52,6.175298804780876,N/A,3.2669322709163344
8,AEE,85.22000122070312,21.55,3.9840637450199203,2.18,2.390438247011952,2.99,4.9800796812749,12.13,1.792828685258964,4.99,6.573705179282868,N/A,3.944223107569721
9,UNH,495.0199890136719,22.52,4.581673306772908,5.47,6.374501992031872,1.41,2.788844621513944,14.93,3.9840637450199203,1.48,2.788844621513944,N/A,4.103585657370518
10,AKAM,85.12000274658203,28.63,6.175298804780876,3.32,4.382470119521912,4.03,5.9760956175298805,12.71,2.390438247011952,4.54,6.374501992031872,N/A,5.059760956175299
11,TT,183.05999755859375,23.84,5.179282868525896,6.81,6.972111553784861,2.65,4.581673306772908,16.61,4.382470119521912,2.82,4.183266932270916,N/A,5.059760956175299
