,Ticker,Price,P/E Ratio,NumberSharesToBuy
0,A,150.9550018310547,36.11,N/A
1,AAL,16.020000457763672,84.32,N/A
2,AAP,150.02000427246094,19.23,N/A
3,AAPL,143.0019989013672,23.4,N/A
4,ABBV,145.36000061035156,19.38,N/A
5,ABC,165.39500427246094,20.57,N/A
6,ABT,109.66000366210938,28.05,N/A
7,ACGL,63.935001373291016,20.69,N/A
8,ACN,274.5299987792969,24.93,N/A
9,ADBE,363.9949951171875,35.55,N/A
10,ADI,168.94000244140625,32.18,N/A
11,ADM,82.27999877929688,10.67,N/A
12,ADP,222.0500030517578,29.45,N/A
13,ADSK,209.72999572753906,73.33,N/A
14,AEE,87.02999877929688,21.81,N/A
15,AEP,93.0199966430664,19.3,N/A
16,AES,26.485000610351562,,N/A
17,AFL,72.9800033569336,9.33,N/A
18,AIG,63.20009994506836,3.75,N/A
19,AIZ,130.9499969482422,21.43,N/A
20,AJG,195.25,37.62,N/A
21,AKAM,87.43499755859375,28.02,N/A
22,ALB,272.55499267578125,20.66,N/A
23,ALGN,264.8399963378906,40.01,N/A
24,ALK,50.290000915527344,122.66,N/A
25,ALL,127.66999816894531,39.77,N/A
26,ALLE,114.80000305175781,23.38,N/A
27,AMAT,108.36000061035156,14.56,N/A
28,AMCR,11.8149995803833,21.48,N/A
29,AMD,72.66999816894531,44.32,N/A
30,AME,142.3800048828125,29.12,N/A
31,AMGN,250.88999938964844,20.14,N/A
32,AMP,344.6600036621094,15.33,N/A
33,AMT,219.02999877929688,34.82,N/A
34,AMZN,100.7249984741211,89.14,N/A
35,ANET,123.5199966430664,42.45,N/A
36,ANSS,262.2300109863281,49.11,N/A
37,AON,317.5799865722656,24.75,N/A
38,AOS,59.90999984741211,19.08,N/A
39,APA,44.27000045776367,4.19,N/A
40,APD,313.8800048828125,31.14,N/A
41,APH,78.12000274658203,25.53,N/A
42,APTV,109.76000213623047,92.24,N/A
43,ARE,157.86000061035156,47.55,N/A
44,ATO,115.62999725341797,20.65,N/A
45,ATVI,75.86499786376953,35.62,N/A
46,AVB,174.13999938964844,19.79,N/A
47,AVGO,580.719970703125,21.94,N/A
48,AVY,186.17999267578125,18.83,N/A
49,AWK,155.2100067138672,21.41,N/A
50,AXP,174.2899932861328,17.69,N/A
51,AZO,2417.93505859375,20.72,N/A
52,BA,209.5800018310547,,N/A
53,BAC,35.28499984741211,11.06,N/A
54,BALL,57.45000076293945,19.34,N/A
55,BAX,45.130001068115234,22.57,N/A
56,BBWI,44.30500030517578,11.78,N/A
57,BBY,86.30000305175781,12.92,N/A
58,BDX,249.75999450683594,46.42,N/A
59,BEN,31.69499969482422,12.53,N/A
60,BF-B,66.05000305175781,35.9,N/A
61,BIIB,285.0799865722656,14.66,N/A
62,BIO,465.2900085449219,,N/A
63,BK,49.79499816894531,17.17,N/A
64,BKNG,2446.304931640625,40.26,N/A
65,BKR,31.014999389648438,77.54,N/A
66,BLK,749.8300170898438,22.07,N/A
67,BMY,71.96499633789062,23.44,N/A
68,BR,150.39999389648438,34.18,N/A
69,BRK-B,307.44000244140625,59.01,N/A
70,BRO,57.59000015258789,24.3,N/A
71,BSX,45.73500061035156,111.55,N/A
72,BWA,46.15999984741211,13.41,N/A
73,BXP,72.73999786376953,12.54,N/A
74,C,51.8849983215332,7.3,N/A
75,CAG,36.98500061035156,26.23,N/A
76,CAH,77.04000091552734,,N/A
77,CARR,43.654998779296875,10.52,N/A
78,CAT,262.0199890136719,19.07,N/A
79,CB,225.69500732421875,15.73,N/A
80,CBOE,122.5199966430664,54.7,N/A
81,CBRE,84.08000183105469,13.83,N/A
82,CCI,145.47000122070312,37.69,N/A
83,CCL,10.635000228881836,,N/A
84,CDAY,70.70500183105469,,N/A
85,CDNS,181.1699981689453,63.79,N/A
86,CDW,194.19500732421875,25.52,N/A
87,CE,122.06999969482422,8.05,N/A
88,CEG,83.481201171875,38.83,N/A
89,CF,82.68000030517578,5.4,N/A
90,CFG,42.29499816894531,10.32,N/A
91,CHD,80.38999938964844,26.89,N/A
92,CHRW,96.7300033569336,11.72,N/A
93,CHTR,390.45001220703125,12.59,N/A
94,CI,309.5299987792969,14.86,N/A
95,CINF,111.86499786376953,34.85,N/A
96,CL,72.9749984741211,34.26,N/A
97,CLX,141.88999938964844,43.39,N/A
98,CMA,71.58999633789062,8.45,N/A
99,CMCSA,39.334999084472656,32.51,N/A
100,CME,176.80499267578125,24.12,N/A
101,CMG,1622.969970703125,56.29,N/A
102,CMI,247.14999389648438,18.4,N/A
103,CMS,62.82500076293945,23.62,N/A
104,CNC,74.87999725341797,22.29,N/A
105,CNP,29.854999542236328,20.88,N/A
106,COF,115.81999969482422,6.47,N/A
107,COO,340.5400085449219,43.88,N/A
108,COP,120.5999984741211,8.67,N/A
109,COST,503.3468017578125,38.05,N/A
110,CPB,51.904998779296875,19.66,N/A
111,CPRT,66.30999755859375,29.61,N/A
112,CPT,120.45500183105469,15.68,N/A
113,CRL,239.02999877929688,28.02,N/A
114,CRM,164.81500244140625,633.9,N/A
115,CSCO,48.21500015258789,17.4,N/A
116,CSGP,77.87000274658203,92.68,N/A
117,CSX,29.959999084472656,15.36,N/A
118,CTAS,436.6090087890625,35.53,N/A
119,CTLT,52.79999923706055,21.04,N/A
120,CTRA,24.770000457763672,4.5,N/A
121,CTSH,65.55000305175781,14.6,N/A
122,CTVA,62.400001525878906,32.33,N/A
123,CVS,87.16500091552734,36.77,N/A
124,CVX,173.82000732421875,9.89,N/A
125,CZR,50.970001220703125,,N/A
126,D,62.70500183105469,29.3,N/A
127,DAL,38.6150016784668,19.02,N/A
128,DD,72.55999755859375,22.89,N/A
129,DE,421.31500244140625,18.1,N/A
130,DFS,115.52999877929688,7.45,N/A
131,DG,232.6999969482422,22.64,N/A
132,DGX,145.85499572753906,14.31,N/A
133,DHI,95.44000244140625,5.93,N/A
134,DHR,263.0299987792969,27.23,N/A
135,DIS,107.93000030517578,61.67,N/A
136,DISH,13.984999656677246,4.65,N/A
137,DLR,111.5250015258789,22.85,N/A
138,DLTR,148.89999389648438,20.77,N/A
139,DOV,143.30999755859375,17.8,N/A
140,DOW,58.03499984741211,9.24,N/A
141,DPZ,349.9100036621094,28.33,N/A
142,DRI,147.1999969482422,20.3,N/A
143,DTE,114.46499633789062,15.55,N/A
144,DUK,101.48500061035156,59.04,N/A
145,DVA,81.25599670410156,12.56,N/A
146,DVN,62.38999938964844,,N/A
147,DXC,28.149999618530273,,N/A
148,DXCM,105.55500030517578,20.28,N/A
149,EA,128.99000549316406,31.89,N/A
150,EBAY,48.755001068115234,11.82,N/A
151,ECL,150.85000610351562,,N/A
152,ED,95.12000274658203,20.03,N/A
153,EFX,216.80999755859375,43.97,N/A
154,EIX,68.2699966430664,31.59,N/A
155,EL,271.5299987792969,71.88,N/A
156,ELV,489.239990234375,,N/A
157,EMN,86.6500015258789,24.01,N/A
158,EMR,89.81199645996094,26.0,N/A
159,ENPH,212.72000122070312,316.08,N/A
160,EOG,131.5399932861328,,N/A
161,EPAM,334.4209899902344,59.72,N/A
162,EQIX,726.989990234375,159.57,N/A
163,EQR,62.26499938964844,35.12,N/A
164,EQT,32.154998779296875,,N/A
165,ES,81.36000061035156,22.92,N/A
166,ESS,220.2449951171875,34.0,N/A
167,ETN,160.86900329589844,46.09,N/A
168,ETR,108.06999969482422,13.56,N/A
