,Ticker,Price,P/E Ratio,P/E Percentile,P/B Ratio,P/B Percentile,P/Sales Ratio,P/Sales Percentile,EV/EBITDA Ratio,EV/EBITDA Percentile,EV/Gross Ratio,EV/Gross Percentile,NumberSharesToBuy
0,A,154.69000244140625,37.19,N/A,8.68,N/A,6.81,N/A,25.06,N/A,6.97,N/A,N/A
1,AAL,16.90999984741211,2.81,N/A,,N/A,,N/A,,N/A,,N/A,N/A
2,AAP,149.05999755859375,20.11,N/A,3.42,N/A,0.87,N/A,13.35,N/A,1.14,N/A,N/A
3,AAPL,151.75999450683594,25.61,N/A,42.1,N/A,6.3,N/A,19.21,N/A,6.32,N/A,N/A
4,ABBV,144.5500030517578,19.31,N/A,16.02,N/A,4.45,N/A,12.4,N/A,5.43,N/A,N/A
5,ABC,157.72999572753906,19.54,N/A,442.78,N/A,0.14,N/A,11.7,N/A,0.15,N/A,N/A
6,ABT,109.83999633789062,28.71,N/A,5.49,N/A,4.54,N/A,18.91,N/A,4.63,N/A,N/A
7,ACGL,64.07499694824219,19.66,N/A,2.07,N/A,2.61,N/A,,N/A,2.86,N/A,N/A
8,ACN,284.1700134277344,25.76,N/A,7.77,N/A,2.92,N/A,17.7,N/A,2.93,N/A,N/A
9,ADBE,376.1099853515625,38.83,N/A,12.78,N/A,10.49,N/A,25.53,N/A,10.12,N/A,N/A
10,ADI,178.0399932861328,33.64,N/A,2.45,N/A,7.69,N/A,16.89,N/A,7.87,N/A,N/A
11,ADM,81.66000366210938,13.37,N/A,1.95,N/A,0.51,N/A,10.24,N/A,0.63,N/A,N/A
12,ADP,223.3800048828125,30.45,N/A,31.77,N/A,5.74,N/A,20.41,N/A,5.81,N/A,N/A
13,ADSK,221.11500549316406,78.51,N/A,52.92,N/A,9.93,N/A,48.31,N/A,10.04,N/A,N/A
14,AEE,84.6500015258789,21.74,N/A,2.2,N/A,3.01,N/A,12.19,N/A,5.01,N/A,N/A
15,AEP,90.13999938964844,19.64,N/A,2.0,N/A,2.57,N/A,11.87,N/A,4.59,N/A,N/A
16,AES,26.014999389648438,,N/A,6.89,N/A,1.45,N/A,29.46,N/A,3.13,N/A,N/A
17,AFL,70.625,10.46,N/A,1.9,N/A,2.25,N/A,,N/A,2.32,N/A,N/A
18,AIG,60.72999954223633,3.63,N/A,1.17,N/A,0.84,N/A,,N/A,1.25,N/A,N/A
19,AIZ,131.0050048828125,21.64,N/A,1.7,N/A,0.73,N/A,,N/A,0.77,N/A,N/A
20,AJG,196.55499267578125,,N/A,,N/A,,N/A,,N/A,,N/A,N/A
21,AKAM,86.0176010131836,28.71,N/A,3.33,N/A,4.05,N/A,12.95,N/A,4.63,N/A,N/A
22,ALB,268.57000732421875,21.68,N/A,4.97,N/A,6.02,N/A,18.45,N/A,6.43,N/A,N/A
23,ALGN,334.19500732421875,61.29,N/A,6.13,N/A,5.93,N/A,32.37,N/A,5.67,N/A,N/A
24,ALK,51.279998779296875,118.82,N/A,1.79,N/A,0.71,N/A,47.85,N/A,0.86,N/A,N/A
25,ALL,136.8300018310547,,N/A,1.92,N/A,0.68,N/A,,N/A,0.8,N/A,N/A
26,ALLE,119.31999969482422,24.79,N/A,13.51,N/A,3.46,N/A,19.3,N/A,4.05,N/A,N/A
27,AMAT,115.81999969482422,16.0,N/A,8.23,N/A,4.05,N/A,13.06,N/A,4.19,N/A,N/A
28,AMCR,11.300000190734863,22.06,N/A,4.64,N/A,1.24,N/A,13.05,N/A,1.69,N/A,N/A
29,AMD,84.66000366210938,100.76,N/A,2.49,N/A,5.63,N/A,41.34,N/A,5.91,N/A,N/A
30,AME,144.73500061035156,,N/A,,N/A,,N/A,,N/A,,N/A,N/A
31,AMGN,240.25999450683594,20.35,N/A,35.94,N/A,5.06,N/A,18.42,N/A,6.12,N/A,N/A
32,AMP,352.3399963378906,15.47,N/A,10.13,N/A,2.77,N/A,,N/A,2.45,N/A,N/A
33,AMT,217.47000122070312,36.15,N/A,16.85,N/A,10.02,N/A,20.75,N/A,14.39,N/A,N/A
34,AMZN,100.0999984741211,102.6,N/A,7.89,N/A,2.24,N/A,31.86,N/A,2.38,N/A,N/A
35,ANET,135.97999572753906,36.46,N/A,9.3,N/A,10.78,N/A,27.39,N/A,9.63,N/A,N/A
36,ANSS,271.2349853515625,51.38,N/A,5.26,N/A,11.87,N/A,36.37,N/A,12.25,N/A,N/A
37,AON,320.5,25.84,N/A,,N/A,5.36,N/A,19.54,N/A,5.99,N/A,N/A
